termTitle,termCode,termDescription,session,courseSubject,courseCatalog,section,componentCode,classNumber,courseTitle,locationCode,instructionModeCode,roomCode,buildingCode,roomNumber,startTimeHour,startTimeMin,classStartTimeMin,classStartTimeHourMin,classDuration,classEndTimeMin,endTimeHour,endTimeMin,classEndTimeHourMin,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,startDay,startMonth,startYear,startDateDMY,endDay,endMonth,endYear,endDateDMY
Fall,2017,Fall 2017,13W,AERO,482,X,LEC,1080,AVIONIC NAVIGATION SYSTEMS,SGW,P,GNM100,GN,M100,14,45,885,14.45.00,165,1050,17,30,17.30.00,Y,N,N,N,N,N,N,5,9,2017,5/9/2017,4,9,2017,4/12/2017
Fall,2017,Fall 2017,13W,AERO,480,XX,LEC,1073,FLIGHT CONTROL SYSTEMS,SGW,P,H557,H,557,17,45,1065,17.45.00,150,1215,20,15,20.15.00,N,N,N,Y,N,N,N,5,9,2017,5/9/2017,4,9,2017,4/12/2017
Fall,2017,Fall 2017,13W,AERO,480,XXXI,LAB,1072,FLIGHT CONTROL SYSTEMS,SGW,P,H867,H,867,11,45,705,11.45.00,110,815,13,35,13.35.00,Y,N,N,N,N,N,N,10,9,2017,10/9/2017,16,9,2017,16/09/2017
Fall,2017,Fall 2017,13W,AERO,480,XXXJ,LAB,1074,FLIGHT CONTROL SYSTEMS,SGW,P,H867,H,867,14,45,885,14.45.00,110,995,16,35,16.35.00,N,N,Y,N,N,N,N,10,9,2017,10/9/2017,16,9,2017,16/09/2017
Fall,2017,Fall 2017,13W,AERO,480,XXXK,LAB,1076,FLIGHT CONTROL SYSTEMS,SGW,P,H867,H,867,14,45,885,14.45.00,110,995,16,35,16.35.00,N,N,Y,N,N,N,N,17,9,2017,17/9/2017,23,9,2017,23/09/2017
Fall,2017,Fall 2017,13W,AERO,480,XXXL,LAB,1077,FLIGHT CONTROL SYSTEMS,SGW,P,H867,H,867,09,45,585,09.45.00,110,695,11,35,11.35.00,N,N,Y,N,N,N,N,10,9,2017,10/9/2017,16,9,2017,16/09/2017
Fall,2017,Fall 2017,13W,AERO,480,XXXM,LAB,1078,FLIGHT CONTROL SYSTEMS,SGW,P,H867,H,867,09,45,585,09.45.00,110,695,11,35,11.35.00,N,N,Y,N,N,N,N,17,9,2017,17/09/2017,23,9,2017,23/09/2017
Fall,2017,Fall 2017,13W,AERO,480,XXXN,LAB,1079,FLIGHT CONTROL SYSTEMS,SGW,P,H867,H,867,14,45,885,14.45.00,110,995,16,35,16.35.00,Y,N,N,N,N,N,N,10,9,2017,10/9/2017,16,9,2017,16/09/2017
Fall,2017,Fall 2017,13W,AERO,480,XXXO,LAB,10011,FLIGHT CONTROL SYSTEMS,SGW,P,H867,H,867,14,45,885,14.45.00,110,995,16,35,16.35.00,Y,N,N,N,N,N,N,17,9,2017,17/09/2017,23,9,2017,23/09/2017
Fall,2017,Fall 2017,13W,BIOL,261,1,LEC,1265,MOLECULAR & GENERAL GENETICS,LOY,P,SPS110,SP,S110,11,45,705,11.45.00,75,780,13,00,13.00.00,N,N,Y,N,Y,N,N,5,9,2017,5/9/2017,4,9,2017,4/12/2017
Fall,2017,Fall 2017,13W,BIOL,261,101,TUT,1264,MOLECULAR & GENERAL GENETICS,LOY,P,CC301,CC,301,13,30,810,13.30.00,120,930,15,30,15.30.00,N,Y,N,N,N,N,N,5,9,2017,5/9/2017,4,9,2017,4/12/2017
Fall,2017,Fall 2017,13W,BIOL,261,102,TUT,1263,MOLECULAR & GENERAL GENETICS,LOY,P,CC301,CC,301,15,30,930,15.30.00,120,1050,17,30,17.30.00,N,Y,N,N,N,N,N,5,9,2017,5/9/2017,4,9,2017,4/12/2017
Fall,2017,Fall 2017,13W,BIOL,261,103,TUT,1260,MOLECULAR & GENERAL GENETICS,LOY,P,CC314,CC,314,13,30,810,13.30.00,120,930,15,30,15.30.00,N,N,Y,N,N,N,N,5,9,2017,5/9/2017,4,9,2017,4/12/2017
Fall,2017,Fall 2017,13W,BIOL,261,104,TUT,1266,MOLECULAR & GENERAL GENETICS,LOY,P,CC314,CC,314,15,30,930,15.30.00,120,1050,17,30,17.30.00,N,N,Y,N,N,N,N,5,9,2017,5/9/2017,4,9,2017,4/12/2017
Fall,2017,Fall 2017,13W,BIOL,261,105,TUT,1259,MOLECULAR & GENERAL GENETICS,LOY,P,CC314,CC,314,13,30,810,13.30.00,120,930,15,30,15.30.00,N,N,N,Y,N,N,N,5,9,2017,5/9/2017,4,9,2017,4/12/2017
Fall,2017,Fall 2017,13W,BIOL,261,106,TUT,1258,MOLECULAR & GENERAL GENETICS,LOY,P,CC314,CC,314,15,30,930,15.30.00,120,1050,17,30,17.30.00,N,N,N,Y,N,N,N,5,9,2017,5/9/2017,4,9,2017,4/12/2017
